Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Titan Smart Pro,1,MediaTek MT6739,0,0,0,0,0,None,330,none,"Android,iOS",86436,50,42,12,35,50,1.19,8,Yes,Yes,Yes,Yes,0,no,11995
OPPO Watch,1,Snapdragon Wear 3100,0,0,0,0,0,None,300,none,Android v6.0,115200,41.45,36.37,11.4,41,60,1.6,1,Yes,Yes,Yes,Yes,0,no,14990
Honor Watch GS 3,0.032,Kirin A1,0,0,0,0,0,None,450,none,"Android v6.0, iOS",217156,45.9,45.9,10.5,42.6,60,1.43,0.032,Yes,Yes,Yes,Yes,0,no,12999
Amazfit GTR Mini,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,280,none,"Android v7.0, iOS",173056,42.83,42.83,9.25,32,60,1.28,16,Yes,Yes,Yes,Yes,0,no,10999
Amazfit GTR 2,1,1.2GHz Apollo 3 Lite,0,0,0,0,0,None,471,none,"Android,iOS",206116,46.4,10.7,46.4,44,100,1.39,32,Yes,Yes,No,Yes,0,no,12999
Fire-Boltt Ultron,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,420,none,"Android v5.0, iOS",152100,40,31,11,60,60,1.2,16,Yes,Yes,Yes,Yes,0,no,10999
Amazfit T-Rex 2,0.512,1.2GHz Cortex-A7,0,0,0,0,0,None,500,none,"Android v7.0, iOS",206116,47.1,47.1,13.66,60,60,1.39,32,Yes,Yes,Yes,Yes,0,no,14999
Honor MagicWatch 2 42mm,0.512,Kirin A1,0,0,0,0,0,None,455,none,"Android v4.0.4, iOS",152100,42,36,9.7,42,60,1.2,16,Yes,Yes,Yes,Yes,0,no,14999
Honor MagicWatch 2,0.512,Kirin A1,0,0,0,0,0,None,455,none,"Android v4.4, iOS",206116,46,41,10.7,46,60,1.39,32,Yes,Yes,Yes,Yes,0,no,11999
Amazfit GTR 2 New,1,1.2GHz Apollo 3 Lite,0,0,0,0,0,None,471,none,"Android,iOS",206116,46.4,46.4,10.9,44,60,1.39,32,Yes,Yes,Yes,Yes,0,no,11999
